business_id,business_address,business_city,business_latitude,business_longitude,inspection_score
835,801 Broadway St,San Francisco,37.797222999999995,-122.410513,87.0
840,373 Columbus Ave,San Francisco,37.798556,-122.407707,87.0
845,1454 Grant Ave,San Francisco,37.800428000000004,-122.407517,94.0
847,542 Green St,San Francisco,37.799648,-122.408033,92.8
854,1421 Stockton St,San Francisco,37.798914,-122.40888500000001,83.33333333333333
856,3621 18th St,San Francisco,37.761514,-122.424318,92.8
874,1639 Polk St,San Francisco,37.792093,-122.421024,89.0
876,2415 CLEMENT St,San Francisco,37.781973,-122.48522,81.05
884,919 Kearny St,San Francisco,37.796463,-122.405224,87.58333333333333
886,1 Maritime Plaza,San Francisco,37.795227000000004,-122.39913999999999,96.0
891,854 Washington St,San Francisco,37.795078000000004,-122.40743300000001,87.71428571428571
892,100 Bush St #101,San Francisco,37.791348,-122.39983400000001,87.9090909090909
902,420 CASTRO St,San Francisco,37.762057,-122.43514499999999,96.4
903,419 Grant Ave,San Francisco,37.790874,-122.405634,91.66666666666667
905,0259 Kearny St,San Francisco,37.790477,-122.40403300000001,90.6
917,218 Stockton St,San Francisco,37.787927,-122.40660700000001,94.66666666666667
919,600 Stockton St 4th Floor,San Francisco,37.791757000000004,-122.407377,96.0
920,600 Stockton St 8th Floor,San Francisco,37.791757000000004,-122.407377,93.33333333333333
929,878 Valencia St,San Francisco,37.758832,-122.42135900000001,89.0
935,4920 03rd St,San Francisco,37.733891,-122.39118300000001,88.8
941,984 GILMAN Ave,San Francisco,37.718016,-122.38769599999999,90.0
943,136 CHURCH St,San Francisco,37.768776,-122.42909499999999,79.3
949,5317-19 Geary Blvd,San Francisco,37.780372,-122.476354,90.2
950,1825 IRVING St,San Francisco,37.763513,-122.47764,91.16666666666667
951,1900 Irving St,San Francisco,37.763528,-122.478362,
952,2026 IRVING St,San Francisco,37.763512,-122.47958,85.3076923076923
961,1396 LA PLAYA St,San Francisco,37.760416,-122.509106,94.28571428571429
972,2455 NORIEGA St,San Francisco,37.753614,-122.490219,87.77777777777777
984,3050 TARAVAL St,San Francisco,37.742086,-122.49873799999999,72.69565217391305
985,3060 TARAVAL St,San Francisco,37.742048,-122.499002,71.0
994,705 Monterey Blvd,San Francisco,37.731513,-122.45133,94.0
999,3274 21st St,San Francisco,37.756997,-122.420534,79.05263157894737
1000,3279 22nd St,San Francisco,37.755282,-122.420493,73.78947368421052
1002,3392 24th St,San Francisco,37.752158,-122.42036200000001,88.72727272727273
1003,3364 26th St,San Francisco,37.749128000000006,-122.417402,89.0
1005,3006 MISSION St,San Francisco,37.748855,-122.41813400000001,82.91666666666667
1008,801 VALENCIA St,San Francisco,37.759944,-122.421356,76.94117647058823
1018,2399 MISSION St,San Francisco,37.758684,-122.418975,86.36363636363636
1021,2815 MISSION St,San Francisco,37.751884999999994,-122.418406,87.75
1026,248 DIVISADERO St,San Francisco,37.771117,-122.436976,71.0
1031,500 FELL St,San Francisco,37.775538,-122.42626399999999,83.5
1036,803 FILLMORE St,San Francisco,37.776944,-122.431444,85.0
1042,553 HAIGHT St,San Francisco,37.771964000000004,-122.43133600000002,94.0
1043,1696 HAYES St,San Francisco,37.774198,-122.44421399999999,84.71428571428571
1047,1451 HAIGHT St,San Francisco,37.770063,-122.446247,83.0
1065,2814 19th St,San Francisco,37.760487,-122.41066200000002,84.91666666666667
1075,2029 MISSION St,San Francisco,37.764384,-122.41956599999999,89.5
1081,509 VALENCIA St,San Francisco,37.764744,-122.421803,90.0
1085,333 MARKET St,San Francisco,37.792037,-122.397852,94.4
1090,590 Washington St,San Francisco,37.795614,-122.403104,77.0
1103,4094 18th St,San Francisco,37.760938,-122.434692,96.66666666666667
1111,753 POLK St,San Francisco,37.783713,-122.419357,88.71428571428571
1122,2132 CHESTNUT St,San Francisco,37.800546999999995,-122.43849399999999,90.5
1124,3600 16th St,San Francisco,37.764247999999995,-122.433392,82.66666666666667
1125,022 Battery St,San Francisco,37.791554,-122.399565,93.6
1127,555 California St,San Francisco,37.792773,-122.403567,96.0
1135,2500 GEARY Blvd,San Francisco,37.782778,-122.444744,96.0
1139,28 VAN NESS,San Francisco,37.775867,-122.41935600000001,69.0
1144,1475 Polk St,San Francisco,37.790324,-122.42066399999999,89.23076923076923
1146,2327 Polk St,San Francisco,37.798274,-122.42226399999998,77.0
1147,501 Buckingham Way,San Francisco,37.730105,-122.47844099999999,96.8
